food,calories,protein,carbs,fat,sugar,fibre,sodium
adhirasam,300,3,50,10,25,1,50
aloo_gobi,180,4,22,8,5,5,300
aloo_matar,200,5,28,7,6,6,320
aloo_methi,170,4,20,7,4,5,280
aloo_shimla_mirch,160,3,18,7,3,4,250
aloo_tikki,220,8,30,7,4,6,400
anarsa,320,4,55,9,20,2,60
ariselu,310,3,52,10,22,1,50
bandar_laddu,280,6,40,10,3,3,300
basundi,350,8,40,18,35,0,120
bhatura,300,7,45,12,3,2,350
bhindi_masala,160,4,18,7,3,5,280
biryani,350,12,45,12,3,2,600
boondi,250,4,35,10,20,1,150
butter_chicken,400,20,10,28,6,1,700
chak_hao_kheer,320,6,50,10,30,1,100
cham_cham,280,6,45,8,30,0,90
chana_masala,260,10,35,8,6,8,500
chapati,120,3,20,3,1,2,200
chhena_kheeri,290,7,40,10,28,1,120
chicken_razala,380,18,8,28,4,1,650
chicken_tikka,280,25,5,18,2,1,500
chicken_tikka_masala,420,22,12,30,6,2,700
chikki,300,8,40,12,25,3,80
daal_baati_churma,450,10,55,18,20,4,500
daal_puri,300,8,40,12,4,4,400
dal_makhani,320,12,30,15,5,8,550
dal_tadka,230,9,28,8,3,7,400
dharwad_pedha,350,10,45,15,35,0,120
doodhpak,300,8,40,12,30,0,100
double_ka_meetha,400,7,50,18,35,2,150
dum_aloo,220,5,25,10,5,4,350
gajar_ka_halwa,350,6,45,15,30,3,120
gavvalu,320,5,50,12,25,2,90
ghevar,400,6,60,20,40,1,150
gulab_jamun,300,4,45,12,30,1,100
imarti,320,3,55,10,35,1,80
jalebi,350,3,60,10,40,1,80
kachori,300,6,35,15,3,3,400
kadai_paneer,350,14,12,26,4,2,600
kadhi_pakoda,280,8,25,14,5,3,500
kajjikaya,300,5,40,14,20,2,200
kakinada_khaja,420,5,60,18,35,1,150
kalakand,350,10,40,18,30,1,120
karela_bharta,140,3,15,6,3,5,250
kofta,300,10,25,18,5,3,500
kuzhi_paniyaram,180,4,28,6,2,2,250
lassi,200,6,25,6,20,0,100
ledikeni,320,5,45,12,30,1,120
litti_chokha,350,10,45,12,5,8,400
lyangcha,330,5,50,12,30,1,120
maach_jhol,250,18,10,15,2,1,500
makki_di_roti_sarson_da_saag,200,5,35,5,2,4,250
malapua,350,5,50,15,30,2,150
misi_roti,200,4,35,5,8,2,250
misti_doi,280,6,35,12,30,0,100
modak,280,5,40,10,25,2,100
mysore_pak,420,6,50,25,35,1,100
naan,260,6,40,8,3,2,300
navrattan_korma,360,10,30,22,8,4,600
palak_paneer,350,14,10,26,3,3,500
paneer_butter_masala,420,15,12,32,6,1,650
phirni,300,6,40,10,28,1,100
pithe,260,5,40,8,20,2,150
poha,220,4,35,6,3,2,350
poornalu,320,6,45,12,25,3,200
pootharekulu,380,4,60,14,35,1,80
qubani_ka_meetha,300,3,55,8,40,2,60
rabri,400,10,45,20,35,0,120
ras_malai,320,8,35,15,28,0,90
rasgulla,200,6,35,5,25,0,80
sandesh,250,8,30,10,20,0,90
shankarpali,400,5,55,18,25,2,200
sheer_korma,350,8,45,15,30,1,120
sheera,320,5,45,12,25,2,120
shrikhand,300,8,35,15,30,0,90
sohan_halwa,420,6,50,20,30,2,150
sohan_papdi,380,6,55,16,35,1,120
sutar_feni,450,5,60,22,40,1,100
unni_appam,250,4,40,8,20,2,150
